begin,end
00010048,00010600
00010009,00010011
00010190,00010853
00010100,00010512
00000156,00010834
00010020,00010634
00000152,00010432
00010229,00010584
00010107,00010794
00010057,00010633
00010412,00010423
00010214,00010316
00010252,00010552
00010531,00010754
00000680,00010441
00000575,00010170
00010608,00011021
00010035,00010648
00000722,00000739
00010472,00010728
00010092,00010311
00010447,00010672
00010464,00010901
00010207,00010271
00010551,00010935
00010123,00010194
00000870,00010627
00000109,00010698
00000490,00010228
00010023,00010716
00010157,00010276
00010465,00010841
00010020,00010143
00000286,00010308
00010110,00010619
00000181,00010731
00010654,00010817
00010046,00010057
00000856,00010202
00010229,00010244
00010657,00010841
00010715,00010761
00010467,00010798
00010024,00011021
00000704,00010305
00010212,00010904
00010297,00010490
00010414,00010569
00010045,00010046
00000206,00010427
00010540,00010620
00010348,00010477
00000859,00011027
00010319,00010812
00010020,00010483
00010319,00010944
00000932,00010913
00010175,00010551
00010808,00010873
00010817,00010901
00000196,00010577
00010283,00010298
00010313,00010466
00010114,00010943
00000131,00000599
00010497,00011016
00010010,00010645
00010273,00010820
00010727,00010894
00010019,00010906
00000705,00010930
00010212,00010894
00000459,00010390
00010447,00010764
00010443,00010608
00010767,00010895
00010156,00010305
00010296,00010961
00000912,00010870
00010691,00010742
00010443,00010981
00010100,00010111
00000469,00000871
00010087,00011035
00010318,00010777
00000744,00010843
00010416,00010770
00000283,00010024
00010813,00010866
00010079,00010461
00000931,00010642
00000548,00010608
00010409,00010737
00010130,00010828
00010032,00010050
00000161,00010952
00010509,00010606
00000760,00010321
00010893,00010993
00010028,00010170
00010205,00010756
00000869,00011015
00010170,00010584
00010656,00010928
00010130,00010900
00000686,00010362
00010243,00010784
00010375,00010720
00000548,00010156
00010013,00011026
00000726,00010695
00010309,00010848
00010242,00010585
00000234,00010450
00010162,00011021
00010013,00010513
00010095,00010630
00000593,00000739
00010211,00010883
00010207,00010317
00000713,00010351
00010080,00010438
00010097,00010865
00010419,00010521
00010747,00010856
00010072,00010087
00010072,00010719
00000411,00010494
00010280,00010527
00000972,00010656
00010272,00010859
00010047,00010066
00000791,00010815
00010234,00010644
00010429,00010756
00010569,00010933
00010081,00010338
00010036,00010231
00000168,00010909
00010145,00010466
00010287,00010333
00010167,00010828
00010302,00010900
00010431,00010494
00000963,00010805
00010060,00010327
00010049,00010949
00010403,00010604
00010195,00010601
00010375,00011034
00010220,00010305
00010110,00010746
00000468,00010986
00000565,00000906
00010469,00010473
00000764,00010952
00010409,00010460
00010438,00010852
00010466,00011021
00010472,00010810
00010521,00010911
00000283,00010081
00010056,00010530
00010131,00010145
00010415,00010856
00010045,00010447
00010383,00010688
00010464,00010580
00010048,00010308
00010107,00010157
00000784,00010984
00000490,00011016
00000457,00000631
00010086,00010607
00010630,00010809
00000181,00010429
00000461,00010186
00010228,00010969
00010175,00010584
00010276,00010557
00010082,00010380
00010442,00010948
00010077,00010981
00000916,00010143
00010228,00010784
00010089,00010852
00000383,00010647
00000649,00010526
00010576,00010920
00010441,00010594
00010282,00010766
00010550,00010597
00010366,00010367
00010586,00010676
00010517,00010748
00010642,00010936
00000549,00010151
00010711,00011011
00000212,00010895
00010744,00010964
00000482,00010396
00010647,00010819
00010080,00010195
00000201,00010567
00010059,00010161
00010327,00010558
00010051,00010148
00000491,00010057
00000597,00000698
00010179,00011018
00010049,00010562
00010125,00010180
00010316,00011026
00010055,00010130
00010172,00010598
00010252,00010607
00010046,00010163
00010177,00010596
